Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type
2,300.4,311.8,1362,47.6,188,No Failure
2,299.7,309.3,1399,41.9,221,Tool Wear Failure
2,301.8,309.6,1436,49.0,214,No Failure
1,300.4,309.9,1567,36.5,72,No Failure
2,298.1,307.9,1377,55.1,42,No Failure
1,299.1,308.5,1539,46.8,190,No Failure
0,299.8,309.2,1435,42.6,111,No Failure
2,303.8,312.4,1597,33.4,203,No Failure
1,302.7,312.2,1376,52.8,164,No Failure
1,301.5,310.5,1466,48.1,189,No Failure
1,297.3,307.9,1628,30.2,80,No Failure
2,298.0,307.4,1463,46.5,182,No Failure
0,298.1,309.9,1686,29.1,60,No Failure
1,299.5,309.1,1415,49.2,8,No Failure
1,301.7,310.5,1354,50.0,169,No Failure
1,302.0,310.5,1567,36.1,124,No Failure
1,301.2,310.4,1515,38.4,51,No Failure
2,298.3,309.6,1469,54.8,191,No Failure
1,300.1,311.5,1471,47.2,201,No Failure
1,300.5,310.8,1354,51.8,157,No Failure
2,300.5,311.9,1511,44.5,30,No Failure
1,300.1,311.5,2218,17.0,123,No Failure
1,300.4,309.6,1379,54.5,122,No Failure
1,298.6,309.8,1370,56.0,0,No Failure
1,300.3,311.8,2004,19.6,12,No Failure
1,298.9,309.8,1411,56.3,84,No Failure
1,298.9,310.1,1587,30.2,162,No Failure
1,297.2,308.6,1636,31.3,192,No Failure
1,300.6,309.4,1654,32.8,57,No Failure
1,297.5,308.5,1546,40.4,129,No Failure
1,300.7,309.6,1329,54.3,80,No Failure
1,300.0,311.3,1703,30.4,85,No Failure
1,300.8,312.3,1858,26.3,144,No Failure
2,301.7,310.9,1435,48.0,66,No Failure
1,300.0,311.3,1493,41.4,28,No Failure
1,300.7,311.0,1377,49.9,124,No Failure
2,295.7,306.3,1462,44.3,37,No Failure
2,302.4,311.9,1313,55.7,102,No Failure
1,297.3,308.2,1896,24.4,47,No Failure
1,302.3,311.4,1845,21.9,27,No Failure
2,300.3,311.7,1236,57.5,12,No Failure
2,303.5,312.4,1318,54.2,177,No Failure
2,299.0,309.7,1489,40.7,212,No Failure
1,297.3,308.4,1339,52.1,36,No Failure
2,300.8,312.0,1274,67.3,159,No Failure
2,298.0,307.5,1524,36.3,98,No Failure
1,298.1,307.9,2161,17.5,5,No Failure
1,301.4,310.5,1633,39.5,0,No Failure
1,300.7,311.0,1462,41.9,126,No Failure
1,297.8,307.9,1447,48.6,46,No Failure
1,303.1,311.4,1829,24.5,159,No Failure
1,302.2,311.3,1382,46.4,94,No Failure
0,300.3,309.9,1509,46.6,125,No Failure
1,300.7,311.0,1413,52.0,91,Random Failures
1,298.2,309.0,1780,29.3,91,No Failure
1,300.8,312.0,1382,49.3,177,No Failure
1,295.8,306.6,1621,31.6,95,No Failure
2,300.1,309.6,1622,36.1,43,No Failure
1,300.8,310.7,1633,27.8,0,No Failure
1,297.3,308.5,1497,47.5,27,No Failure
2,298.3,308.9,1646,25.4,46,No Failure
2,297.1,308.4,1588,33.4,204,No Failure
1,297.7,308.4,1289,51.3,82,No Failure
2,300.6,310.5,2156,18.0,16,No Failure
1,299.5,308.7,2549,13.0,179,Power Failure
2,300.4,309.7,1539,37.7,156,No Failure
1,303.0,311.2,1361,47.6,106,Heat Dissipation Failure
1,303.7,312.7,1395,53.9,123,No Failure
2,301.4,310.6,1630,30.3,2,No Failure
1,300.4,310.0,1423,44.2,189,No Failure
0,300.5,309.4,1642,36.2,103,No Failure
2,300.2,309.6,1556,35.8,36,No Failure
1,302.1,311.4,1446,39.7,95,No Failure
1,300.7,312.0,1401,51.1,50,No Failure
0,298.3,309.1,1646,30.2,125,No Failure
2,302.3,311.5,1530,42.3,21,No Failure
1,303.7,312.5,1433,53.6,185,No Failure
1,298.5,308.2,1654,27.1,13,No Failure
1,302.2,311.2,1928,23.1,2,No Failure
1,301.7,310.9,1405,46.4,207,Tool Wear Failure
1,300.2,309.4,1558,38.3,51,No Failure
1,300.4,311.7,1515,47.4,170,No Failure
1,297.2,308.3,1693,28.0,188,No Failure
0,302.6,310.3,1721,27.4,79,No Failure
2,301.4,311.0,1427,43.2,13,No Failure
1,296.6,307.6,1809,25.1,86,No Failure
2,302.4,310.5,1500,36.7,164,No Failure
2,298.6,309.7,1422,49.7,139,No Failure
2,298.6,308.2,1488,44.0,43,No Failure
2,298.6,310.1,1458,41.9,61,No Failure
0,296.7,307.9,1424,53.8,133,No Failure
1,300.6,310.6,1454,39.7,67,No Failure
0,297.9,307.7,1618,35.9,92,No Failure
2,304.2,313.5,1532,41.3,161,No Failure
1,299.9,309.4,1322,53.9,33,No Failure
1,301.1,311.2,1774,29.6,186,No Failure
1,299.4,309.0,1436,47.9,75,No Failure
1,298.4,309.5,2153,15.3,98,Power Failure
1,302.1,311.2,1454,59.2,153,Power Failure
1,296.8,308.0,1391,54.4,17,No Failure
2,300.7,311.0,1706,25.0,153,No Failure
2,304.0,313.0,1454,46.8,30,No Failure
1,297.4,308.4,1328,61.8,98,No Failure
1,298.6,309.3,1449,46.5,26,No Failure
1,302.5,311.9,1452,47.4,77,No Failure
2,298.5,308.6,1344,53.0,114,No Failure
1,303.8,312.9,1573,34.6,14,No Failure
1,300.4,309.9,1376,43.5,74,No Failure
2,300.9,310.8,1402,48.1,22,No Failure
1,300.7,310.8,1486,37.1,186,No Failure
1,303.6,312.7,1429,47.7,198,No Failure
1,300.0,311.5,1445,41.6,81,No Failure
1,303.9,313.1,1440,41.1,12,No Failure
1,302.0,311.1,1406,50.5,187,No Failure
2,302.3,311.7,1535,38.3,5,No Failure
1,301.8,310.3,1688,28.8,31,No Failure
1,296.7,307.8,1605,31.3,128,No Failure
0,301.9,309.8,1724,27.5,126,No Failure
2,301.7,311.0,1311,46.8,136,No Failure
0,301.4,310.6,1674,33.6,49,No Failure
1,298.3,308.0,2886,3.8,57,Power Failure
2,300.4,309.7,1488,42.2,133,No Failure
2,298.5,308.6,1897,20.2,50,No Failure
2,301.8,310.7,1429,47.9,53,No Failure
1,299.7,309.2,1478,38.8,199,No Failure
1,300.4,309.6,1386,56.9,170,No Failure
1,297.9,307.8,1459,46.9,85,No Failure
2,298.2,308.3,1476,43.5,129,No Failure
1,297.3,308.6,1446,50.1,144,No Failure
1,298.7,310.2,1363,45.5,28,No Failure
0,302.3,311.6,1441,53.9,74,No Failure
1,299.8,309.6,1447,43.1,12,No Failure
1,303.7,312.7,1335,51.1,161,No Failure
1,299.5,308.9,1520,38.3,122,No Failure
2,303.4,312.9,1422,39.9,63,No Failure
2,300.8,309.7,1680,28.2,189,No Failure
2,300.9,310.2,1533,38.1,137,No Failure
1,296.5,307.5,1443,41.8,87,No Failure
