Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Failure Type,y_labels
2,300.4,311.8,1362,47.6,188,1,No Failure
2,299.7,309.3,1399,41.9,221,5,Tool Wear Failure
2,301.8,309.6,1436,49.0,214,1,No Failure
1,300.4,309.9,1567,36.5,72,1,No Failure
2,298.1,307.9,1377,55.1,42,1,No Failure
1,299.1,308.5,1539,46.8,190,1,No Failure
0,299.8,309.2,1435,42.6,111,1,No Failure
2,303.8,312.4,1597,33.4,203,1,No Failure
1,302.7,312.2,1376,52.8,164,1,No Failure
1,301.5,310.5,1466,48.1,189,1,No Failure
1,297.3,307.9,1628,30.2,80,1,No Failure
2,298.0,307.4,1463,46.5,182,1,No Failure
0,298.1,309.9,1686,29.1,60,1,No Failure
1,299.5,309.1,1415,49.2,8,1,No Failure
1,301.7,310.5,1354,50.0,169,1,No Failure
1,302.0,310.5,1567,36.1,124,1,No Failure
1,301.2,310.4,1515,38.4,51,1,No Failure
2,298.3,309.6,1469,54.8,191,1,No Failure
1,300.1,311.5,1471,47.2,201,1,No Failure
1,300.5,310.8,1354,51.8,157,1,No Failure
2,300.5,311.9,1511,44.5,30,1,No Failure
1,300.1,311.5,2218,17.0,123,1,No Failure
1,300.4,309.6,1379,54.5,122,1,No Failure
1,298.6,309.8,1370,56.0,0,1,No Failure
1,300.3,311.8,2004,19.6,12,1,No Failure
1,298.9,309.8,1411,56.3,84,1,No Failure
1,298.9,310.1,1587,30.2,162,1,No Failure
1,297.2,308.6,1636,31.3,192,1,No Failure
1,300.6,309.4,1654,32.8,57,1,No Failure
1,297.5,308.5,1546,40.4,129,1,No Failure
1,300.7,309.6,1329,54.3,80,1,No Failure
1,300.0,311.3,1703,30.4,85,1,No Failure
1,300.8,312.3,1858,26.3,144,1,No Failure
2,301.7,310.9,1435,48.0,66,1,No Failure
1,300.0,311.3,1493,41.4,28,1,No Failure
1,300.7,311.0,1377,49.9,124,1,No Failure
2,295.7,306.3,1462,44.3,37,1,No Failure
2,302.4,311.9,1313,55.7,102,1,No Failure
1,297.3,308.2,1896,24.4,47,1,No Failure
1,302.3,311.4,1845,21.9,27,1,No Failure
2,300.3,311.7,1236,57.5,12,1,No Failure
2,303.5,312.4,1318,54.2,177,1,No Failure
2,299.0,309.7,1489,40.7,212,1,No Failure
1,297.3,308.4,1339,52.1,36,1,No Failure
2,300.8,312.0,1274,67.3,159,1,No Failure
2,298.0,307.5,1524,36.3,98,1,No Failure
1,298.1,307.9,2161,17.5,5,1,No Failure
1,301.4,310.5,1633,39.5,0,1,No Failure
1,300.7,311.0,1462,41.9,126,1,No Failure
1,297.8,307.9,1447,48.6,46,1,No Failure
1,303.1,311.4,1829,24.5,159,1,No Failure
1,302.2,311.3,1382,46.4,94,1,No Failure
0,300.3,309.9,1509,46.6,125,1,No Failure
1,300.7,311.0,1413,52.0,91,4,Random Failures
1,298.2,309.0,1780,29.3,91,1,No Failure
1,300.8,312.0,1382,49.3,177,1,No Failure
1,295.8,306.6,1621,31.6,95,1,No Failure
2,300.1,309.6,1622,36.1,43,1,No Failure
1,300.8,310.7,1633,27.8,0,1,No Failure
1,297.3,308.5,1497,47.5,27,1,No Failure
2,298.3,308.9,1646,25.4,46,1,No Failure
2,297.1,308.4,1588,33.4,204,1,No Failure
1,297.7,308.4,1289,51.3,82,1,No Failure
2,300.6,310.5,2156,18.0,16,1,No Failure
1,299.5,308.7,2549,13.0,179,3,Power Failure
2,300.4,309.7,1539,37.7,156,1,No Failure
1,303.0,311.2,1361,47.6,106,0,Heat Dissipation Failure
1,303.7,312.7,1395,53.9,123,1,No Failure
2,301.4,310.6,1630,30.3,2,1,No Failure
1,300.4,310.0,1423,44.2,189,1,No Failure
0,300.5,309.4,1642,36.2,103,1,No Failure
2,300.2,309.6,1556,35.8,36,1,No Failure
1,302.1,311.4,1446,39.7,95,1,No Failure
1,300.7,312.0,1401,51.1,50,1,No Failure
0,298.3,309.1,1646,30.2,125,1,No Failure
2,302.3,311.5,1530,42.3,21,1,No Failure
1,303.7,312.5,1433,53.6,185,1,No Failure
1,298.5,308.2,1654,27.1,13,1,No Failure
1,302.2,311.2,1928,23.1,2,1,No Failure
1,301.7,310.9,1405,46.4,207,5,Tool Wear Failure
1,300.2,309.4,1558,38.3,51,1,No Failure
1,300.4,311.7,1515,47.4,170,1,No Failure
1,297.2,308.3,1693,28.0,188,1,No Failure
0,302.6,310.3,1721,27.4,79,1,No Failure
2,301.4,311.0,1427,43.2,13,1,No Failure
1,296.6,307.6,1809,25.1,86,1,No Failure
2,302.4,310.5,1500,36.7,164,1,No Failure
2,298.6,309.7,1422,49.7,139,1,No Failure
2,298.6,308.2,1488,44.0,43,1,No Failure
