Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Failure Type,y_labels
2,0.1975193300526981,1.209468451660267,-0.9860603561474424,0.7637196607964014,1,No Failure
2,-0.1524529053407637,-0.4755536884785243,-0.7796736716496209,0.1919147738793301,5,Tool Wear Failure
2,0.8974638008396503,-0.2733510316618617,-0.5732869871517993,0.90416296635498,1,No Failure
1,0.1975193300526981,-0.0711483748452374,0.1574334363404881,-0.3497951189894738,1,No Failure
2,-0.9523894433829584,-1.4191660869562706,-0.9023900786483257,1.5160945120030738,1,No Failure
1,-0.452429107106576,-1.0147607733229451,0.0012489183421365,0.6834663433343559,1,No Failure
0,-0.1024568717131141,-0.5429545740840913,-0.5788650056517404,0.2621364266586198,1,No Failure
2,1.8973844733924148,1.6138737652935538,0.3247739913387218,-0.6607767241548985,1,No Failure
1,1.3474281034883828,1.4790719940824582,-0.9079680971482668,1.2853662242996935,1,No Failure
1,0.7474756999567299,0.3332569387880877,-0.4059464321535655,0.8138779842101795,1,No Failure
1,-1.3523577124040698,-1.4191660869562706,0.4976925648368967,-0.9817899940030786,1,No Failure
2,-1.0023854770106078,-1.7561705149840288,-0.4226804876533889,0.6533713492860893,1,No Failure
0,-0.9523894433829584,-0.0711483748452374,0.8212176378334819,-1.0921383055133904,1,No Failure
1,-0.2524449725960345,-0.61035545968962,-0.690425375650563,0.9242262957204916,1,No Failure
1,0.8474677672120007,0.3332569387880877,-1.0306845041469714,1.0044796131825364,1,No Failure
1,0.997455868094921,0.3332569387880877,0.1574334363404881,-0.3899217777204962,1,No Failure
1,0.5974875990738095,0.2658560531825208,-0.1326235256564504,-0.159193490017117,1,No Failure
2,-0.8523973761276875,-0.2733510316618617,-0.3892123766537421,1.4859995179548064,1,No Failure
1,0.0475312291698062,1.0072657948436043,-0.3780563396538599,0.723593002065379,1,No Failure
1,0.2475153636803477,0.5354595956047504,-1.0306845041469714,1.1850495774721377,1,No Failure
2,0.2475153636803477,1.2768693372657955,-0.1549355996562149,0.4527380556309766,1,No Failure
1,0.0475312291698062,1.0072657948436043,3.78872347980216,-2.305969732126822,1,No Failure
1,0.1975193300526981,-0.2733510316618617,-0.8912340416484434,1.4559045239065398,1,No Failure
1,-0.7024092752447672,-0.1385492604507661,-0.9414362081479136,1.6063794941478742,1,No Failure
1,0.1475232964250769,1.209468451660267,2.59502752081476,-2.0451464503751757,1,No Failure
1,-0.5524211743618752,-0.1385492604507661,-0.7127374496503274,1.6364744881961408,1,No Failure
1,-0.5524211743618752,0.0636533963658965,0.2689938063393106,-0.9817899940030786,1,No Failure
1,-1.4023537460317193,-0.9473598877173782,0.5423167128364257,-0.8714416824927665,1,No Failure
1,0.2975113973079973,-0.4081528028729957,0.6427210458353659,-0.7209667122514325,1,No Failure
1,-1.252365645148799,-1.0147607733229451,0.0402950478417244,0.0414398036379956,1,No Failure
1,0.3475074309356185,-0.2733510316618617,-1.1701349666454997,1.4358411945410283,1,No Failure
1,-0.0024648044578433,0.8724640236325086,0.916043952332481,-0.9617266646375676,1,No Failure
1,0.397503464563268,1.5464728796880252,1.7806368198233555,-1.3730249166305482,1,No Failure
2,0.8474677672120007,0.602860481210279,-0.5788650056517404,0.8038463195274238,1,No Failure
1,-0.0024648044578433,0.8724640236325086,-0.2553399326551551,0.1417564504655519,1,No Failure
1,0.3475074309356185,0.670261366815846,-0.9023900786483257,0.9944479484997806,1,No Failure
2,-2.1522942504462925,-2.4975802566450738,-0.42825850615333,0.4326747262654651,1,No Failure
2,1.1974400026054626,1.2768693372657955,-1.2593832626445576,1.5762845000996075,1,No Failure
1,-1.3523577124040698,-1.216963430139608,1.9926015228211185,-1.5636265456029053,1,No Failure
1,1.1474439689778415,0.9398649092380372,1.7081225793241208,-1.814418162671796,1,No Failure
2,0.1475232964250769,1.1420675660547,-1.6888906871400242,1.7568544643892088,1,No Failure
2,1.7473963725094943,1.6138737652935538,-1.231493170144852,1.4258095298582731,1,No Failure
2,-0.5024251407342256,-0.205950146056333,-0.2776520066549197,0.0715347976862629,1,No Failure
1,-1.3523577124040698,-1.082161658928512,-1.1143547816460884,1.2151445715204048,1,No Failure
2,0.397503464563268,1.3442702228713626,-1.4769259841422615,2.7399576032992603,1,No Failure
2,-1.0023854770106078,-1.6887696293784618,-0.0824213591569802,-0.3698584483549854,1,No Failure
1,-0.9523894433829584,-1.4191660869562706,3.4707764253055164,-2.255811408713044,1,No Failure
1,0.6974796663290803,0.3332569387880877,0.5255826573366024,-0.0488451785068049,1,No Failure
1,0.3475074309356185,0.670261366815846,-0.42825850615333,0.1919147738793301,1,No Failure
1,-1.1023775442658783,-1.4191660869562706,-0.5119287836524469,0.8640363076239577,1,No Failure
1,1.5474122379989528,0.9398649092380372,1.618874283325063,-1.5535948809201496,1,No Failure
1,1.0974479353501918,0.8724640236325086,-0.87449998614862,0.6433396846033335,1,No Failure
0,0.1475232964250769,-0.0711483748452374,-0.1660916366560971,0.663403013968845,1,No Failure
1,0.3475074309356185,0.670261366815846,-0.7015814126504452,1.205112906837649,4,Random Failures
1,-0.9023934097553372,-0.677756345295187,1.3455513768279477,-1.0720749761478792,1,No Failure
1,0.397503464563268,1.3442702228713626,-0.87449998614862,0.9342579604032468,1,No Failure
1,-2.1022982168186437,-2.295377599828411,0.4586464353373088,-0.8413466884444997,1,No Failure
2,0.0475312291698062,-0.2733510316618617,0.46422445383725,-0.3899217777204962,1,No Failure
1,0.397503464563268,0.4680587099991834,0.5255826573366024,-1.2225499463892138,1,No Failure
1,-1.3523577124040698,-1.0147607733229451,-0.2330278586553906,0.7536879961136456,1,No Failure
2,-0.8523973761276875,-0.7451572309007539,0.598096897835837,-1.463309898775349,1,No Failure
2,-1.4523497796593403,-1.082161658928512,0.2745718248392517,-0.6607767241548985,1,No Failure
1,-1.1523735778935282,-1.082161658928512,-1.3932557066431446,1.1348912540583591,1,No Failure
2,0.2975113973079973,0.3332569387880877,3.4428863328058106,-2.2056530852992657,1,No Failure
1,-0.2524449725960345,-0.8799590021118496,5.635047603282673,-2.707236319437047,3,Power Failure
2,0.1975193300526981,-0.205950146056333,0.0012489183421365,-0.2294151427964059,1,No Failure
1,1.4974162043713033,0.8050631380269416,-0.9916383746473836,0.7637196607964014,0,Heat Dissipation Failure
1,1.847388439764765,1.8160764221102164,-0.8019857456493854,1.3957145358100058,1,No Failure
2,0.6974796663290803,0.4006578243936547,0.5088486018367789,-0.9717583293203228,1,No Failure
1,0.1975193300526981,-0.0037474892396704,-0.6458012276510339,0.42264306158271,1,No Failure
0,0.2475153636803477,-0.4081528028729957,0.5757848238360724,-0.3798901130377404,1,No Failure
2,0.0975272627974273,-0.2733510316618617,0.0960752328411357,-0.4200167717687635,1,No Failure
1,1.0474519017225707,0.9398649092380372,-0.5175068021523881,-0.0287818491412933,1,No Failure
1,0.3475074309356185,1.3442702228713626,-0.7685176346497387,1.1148279246928483,1,No Failure
0,-0.8523973761276875,-0.61035545968962,0.598096897835837,-0.9817899940030786,1,No Failure
2,1.1474439689778415,1.0072657948436043,-0.0489532481573335,0.2320414326103524,1,No Failure
1,1.847388439764765,1.6812746508991208,-0.5900210426516227,1.3656195417617392,1,No Failure
1,-0.7524053088724167,-1.216963430139608,0.6427210458353659,-1.2927715991685031,1,No Failure
1,1.0974479353501918,0.8050631380269416,2.1710981148192343,-1.6940381864787284,1,No Failure
1,0.8474677672120007,0.602860481210279,-0.7462055606499741,0.6433396846033335,5,Tool Wear Failure
1,0.0975272627974273,-0.4081528028729957,0.1072312698410179,-0.1692251546998727,1,No Failure
1,0.1975193300526981,1.1420675660547,-0.1326235256564504,0.7436563314308898,1,No Failure
1,-1.4023537460317193,-1.149562544534041,0.8602637673330699,-1.2024866170237023,1,No Failure
0,1.2974320698607618,0.1984551675769921,1.0164482853314214,-1.2626766051202365,1,No Failure
2,0.6974796663290803,0.670261366815846,-0.6234891536512694,0.3223264147551537,1,No Failure
